epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1122.64,1.37495,4.32572,1.23888,0.21301,0.1434,0.05695,0.03861,1.29363,3.87202,1.18633,0.000151378,0.000151378,0.000151378
2,2197.01,1.34548,3.60883,1.21663,0.18838,0.18567,0.08263,0.05652,1.28995,3.53148,1.20698,0.000273043,0.000273043,0.000273043
3,3264.04,1.33283,3.25971,1.20977,0.22959,0.1871,0.11344,0.07664,1.27717,3.20835,1.17549,0.000364678,0.000364678,0.000364678
4,4370.3,1.30874,2.99724,1.18497,0.30128,0.1885,0.13674,0.09518,1.26062,2.97602,1.19116,0.000319865,0.000319865,0.000319865
5,5443.83,1.25988,2.75653,1.15991,0.24844,0.23311,0.15004,0.1055,1.23117,2.82746,1.15146,0.00027482,0.00027482,0.00027482
6,6515.59,1.21994,2.55502,1.13421,0.2847,0.251,0.17361,0.12283,1.19225,2.65289,1.13139,0.000229775,0.000229775,0.000229775
7,7578.89,1.20638,2.39854,1.12312,0.27773,0.26575,0.18296,0.13197,1.18764,2.57853,1.1246,0.00018473,0.00018473,0.00018473
8,8646.02,1.15722,2.25351,1.09016,0.32062,0.25817,0.19452,0.14188,1.16089,2.51412,1.10635,0.000139685,0.000139685,0.000139685
9,9638.19,1.13722,2.12649,1.07509,0.33013,0.26552,0.21114,0.1557,1.14153,2.43149,1.09946,9.464e-05,9.464e-05,9.464e-05
10,10734.3,1.11148,2.03328,1.06352,0.36875,0.25237,0.22067,0.16561,1.11893,2.40854,1.0916,4.9595e-05,4.9595e-05,4.9595e-05
